Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Ville Peltonen,L,1973-05-24,1,382,52,96,148,119,0:18,--,--,--,58,--,--,--,--,57,1,0,0,0,L,L,1973-05-24,1973,Vantaa,--,FIN,FIN,71,182,1993,3,58,19951996,1995,N,382,52,96,148
Sami Kapanen,R,1973-06-14,1,831,189,269,458,175,0:12,--,--,--,86,--,--,--,--,85,1,0,0,0,L,R,1973-06-14,1973,Vantaa,--,FIN,FIN,70,185,1995,4,87,19951996,1995,N,831,189,269,458
Geordie Kinnear,D,1973-07-09,1,4,0,0,0,13,3:15,18:27,17.6,--,5,--,--,--,--,4,1,0,0,0,L,D,1973-07-09,1973,Simcoe,ON,CAN,CAN,73,195,1992,7,162,19992000,1999,N,4,0,0,0
Peter Forsberg,C,1973-07-20,1,708,249,636,885,690,0:58,--,--,--,318,--,--,--,--,310,2,0,5,1,L,C,1973-07-20,1973,Ornskoldsvik,--,SWE,SWE,72,205,1991,1,6,19941995,1994,Y,708,249,636,885
Jason Widmer,D,1973-08-01,1,7,0,1,1,7,1:00,--,--,--,2,--,--,--,--,1,1,0,0,0,L,D,1973-08-01,1973,Calgary,AB,CAN,CAN,72,205,1992,8,176,19941995,1994,N,7,0,1,1
Markus Naslund,L,1973-07-30,1,"1,117",395,474,869,736,0:39,--,--,--,361,--,--,--,--,358,2,0,1,0,L,L,1973-07-30,1973,Ornskoldsvik,--,SWE,SWE,72,191,1991,1,16,19931994,1993,N,"1,117",395,474,869
Mike Maneluk,R,1973-10-01,1,85,11,10,21,57,0:40,11:44,5.7,--,27,--,--,--,--,26,1,0,0,0,R,R,1973-10-01,1973,Winnipeg,MB,CAN,CAN,71,190,--,--,--,19981999,1998,N,85,11,10,21
Alexei Yashin,C,1973-11-05,1,850,337,444,781,401,0:28,--,--,--,194,--,--,--,--,192,1,0,1,0,R,C,1973-11-05,1973,Sverdlovsk,--,RUS,RUS,75,218,1992,1,2,19931994,1993,N,850,337,444,781
Mark Wotton,D,1973-11-16,1,43,3,6,9,25,0:34,--,--,--,11,--,--,--,--,10,1,0,0,0,L,D,1973-11-16,1973,Minnetonka,MN,USA,USA,71,200,1992,10,237,19941995,1994,N,43,3,6,9
Kevin Smyth,L,1973-11-22,1,58,6,8,14,31,0:32,--,--,--,14,--,--,--,--,13,1,0,0,0,L,L,1973-11-22,1973,Banff,AB,CAN,CAN,74,217,1992,4,79,19931994,1993,N,58,6,8,14
Greg Johnson,C,1971-03-16,1,785,145,224,369,345,0:26,--,--,--,171,--,--,--,--,170,1,0,0,0,L,C,1971-03-16,1971,Thunder Bay,ON,CAN,CAN,71,200,1989,2,33,19931994,1993,N,785,145,224,369
Sergei Brylin,L,1974-01-13,1,765,129,179,308,273,0:21,--,--,--,131,--,--,--,--,129,1,0,0,1,L,L,1974-01-13,1974,Moscow,--,RUS,RUS,70,190,1992,2,42,19941995,1994,N,765,129,179,308
Brandon Convery,C,1974-02-04,1,72,9,19,28,36,0:30,--,--,--,15,--,--,--,--,13,2,0,0,0,R,C,1974-02-04,1974,Kingston,ON,CAN,CAN,73,195,1992,1,8,19951996,1995,N,72,9,19,28
Jarrett Deuling,L,1974-03-04,1,15,0,1,1,11,0:44,--,--,--,4,--,--,--,--,3,1,0,0,0,L,L,1974-03-04,1974,Vernon,BC,CAN,CAN,72,202,1992,3,56,19951996,1995,N,15,0,1,1
Patrick Traverse,D,1974-03-14,1,279,14,51,65,113,0:24,--,--,--,55,--,--,--,--,54,1,0,0,0,L,D,1974-03-14,1974,Montreal,QC,CAN,CAN,76,210,1992,3,50,19951996,1995,N,279,14,51,65
Jason MacDonald,R,1974-04-01,1,4,0,0,0,19,4:45,8:11,58,--,4,--,--,--,--,2,1,0,0,1,R,R,1974-04-01,1974,Charlottetown,PE,CAN,CAN,71,205,1992,6,142,20032004,2003,N,4,0,0,0
Sergei Krivokrasov,R,1974-04-15,1,450,86,109,195,288,0:38,--,--,--,117,--,--,--,--,108,4,0,2,3,L,R,1974-04-15,1974,Angarsk,--,RUS,RUS,71,185,1992,1,12,19921993,1992,N,450,86,109,195
Harry York,C,1974-04-16,1,244,29,46,75,99,0:24,--,--,--,48,--,--,--,--,47,1,0,0,0,L,C,1974-04-16,1974,Ponoka,AB,CAN,CAN,73,220,--,--,--,19961997,1996,N,244,29,46,75
Mattias Timander,D,1974-04-16,1,419,13,57,70,165,0:23,--,--,--,81,--,--,--,--,80,1,0,0,0,L,D,1974-04-16,1974,Solleftea,--,SWE,SWE,75,230,1992,9,208,19961997,1996,N,419,13,57,70
Mike Prokopec,R,1974-05-17,1,15,0,0,0,11,0:44,--,--,--,4,--,--,--,--,3,1,0,0,0,R,R,1974-05-17,1974,Toronto,ON,CAN,CAN,74,190,1992,7,161,19951996,1995,N,15,0,0,0
Jeff Toms,L,1974-06-04,1,236,22,33,55,59,0:15,--,--,--,24,--,--,--,--,22,1,0,1,0,L,L,1974-06-04,1974,Swift Current,SK,CAN,CAN,77,210,1992,9,210,19951996,1995,N,236,22,33,55
Domenic Pittis,C,1974-10-01,1,86,5,11,16,71,0:49,--,--,--,34,--,--,--,--,33,1,0,0,0,L,C,1974-10-01,1974,Calgary,AB,CAN,CAN,71,190,1993,2,52,19961997,1996,N,86,5,11,16
Sean Selmser,L,1974-11-10,1,1,0,0,0,5,5:00,11:03,45.3,--,1,--,--,--,--,0,1,0,0,0,L,L,1974-11-10,1974,Calgary,AB,CAN,CAN,73,182,1993,7,182,20002001,2000,N,1,0,0,0
Eric Landry,C,1975-01-20,1,68,5,9,14,47,0:41,9:20,7.4,--,22,--,--,--,--,21,1,0,0,0,L,C,1975-01-20,1975,Gatineau,QC,CAN,USA,71,185,--,--,--,19971998,1997,N,68,5,9,14
Alexandre Boikov,D,1975-02-07,1,10,0,0,0,15,1:30,6:44,22.2,--,6,--,--,--,--,5,1,0,0,0,L,D,1975-02-07,1975,Chelyabinsk,--,RUS,RUS,72,180,--,--,--,19992000,1999,N,10,0,0,0
Stefan Bergqvist,D,1975-03-10,1,7,0,0,0,9,1:17,--,--,--,3,--,--,--,--,2,1,0,0,0,L,D,1975-03-10,1975,Leksand,--,SWE,SWE,74,224,1993,1,26,19951996,1995,N,7,0,0,0
Kimmo Timonen,D,1975-03-18,1,"1,108",117,454,571,654,0:35,22:19,2.6,--,319,--,--,--,--,317,0,0,2,0,L,D,1975-03-18,1975,Kuopio,--,FIN,FIN,70,194,1993,10,250,19981999,1998,N,"1,108",117,454,571
Jere Karalahti,D,1975-03-25,1,149,8,19,27,97,0:39,17:02,3.8,--,47,--,--,--,--,46,1,0,0,0,R,D,1975-03-25,1975,Helsinki,--,FIN,FIN,74,210,1993,6,146,19992000,1999,N,149,8,19,27
Shawn Bates,C,1975-04-03,1,465,72,126,198,266,0:34,15:09,3.8,--,133,--,--,--,--,133,0,0,0,0,R,C,1975-04-03,1975,Medford,MA,USA,USA,72,210,1993,4,103,19971998,1997,N,465,72,126,198
Bill Speer,D,1942-03-20,1,130,5,20,25,79,0:36,--,--,--,38,--,--,--,--,37,1,0,0,0,L,D,1942-03-20,1942,Lindsay,ON,CAN,CAN,71,205,--,--,--,19671968,1967,N,130,5,20,25
Jeffrey Mitchell,R,1975-05-16,1,7,0,0,0,7,1:00,5:45,17.4,--,2,--,--,--,--,1,1,0,0,0,R,R,1975-05-16,1975,Detroit,MI,USA,USA,73,175,1993,3,68,19971998,1997,N,7,0,0,0
Warren Luhning,R,1975-07-03,1,29,0,1,1,21,0:43,8:32,8.5,--,9,--,--,--,--,8,1,0,0,0,R,R,1975-07-03,1975,Edmonton,AB,CAN,CAN,74,205,1993,4,92,19971998,1997,N,29,0,1,1
Shayne Toporowski,R,1975-08-06,1,3,0,0,0,7,2:20,--,--,--,2,--,--,--,--,1,1,0,0,0,R,R,1975-08-06,1975,Paddockwood,SK,CAN,CAN,74,204,1993,2,42,19961997,1996,N,3,0,0,0
Tony Tuzzolino,R,1975-10-09,1,9,0,0,0,7,0:46,3:41,21.1,--,2,--,--,--,--,1,1,0,0,0,R,R,1975-10-09,1975,Buffalo,NY,USA,ITA,74,180,1994,5,113,19971998,1997,N,9,0,0,0
Randy Robitaille,C,1975-10-12,1,531,84,172,256,201,0:22,--,--,--,91,--,--,--,--,88,1,0,1,1,L,C,1975-10-12,1975,Ottawa,ON,CAN,CAN,71,200,--,--,--,19961997,1996,N,531,84,172,256
Radek Bonk,C,1976-01-09,1,969,194,303,497,581,0:35,--,--,--,289,--,--,--,--,288,1,0,0,0,L,C,1976-01-09,1976,Krnov,--,CZE,CZE,74,210,1994,1,3,19941995,1994,N,969,194,303,497
Jason Podollan,C,1976-02-18,1,41,1,5,6,19,0:27,--,--,--,8,--,--,--,--,7,1,0,0,0,R,C,1976-02-18,1976,Vernon,BC,CAN,CAN,74,201,1994,2,31,19961997,1996,N,41,1,5,6
Chris Schmidt,C,1976-03-01,1,10,0,2,2,5,0:30,10:01,5,--,1,--,--,--,--,0,1,0,0,0,L,C,1976-03-01,1976,Beaverlodge,AB,CAN,DEU,75,212,1994,5,111,20022003,2002,N,10,0,2,2
Roger Leger,D,1919-03-26,1,187,18,53,71,71,0:22,--,--,--,34,--,--,--,--,33,1,0,0,0,R,D,1919-03-26,1919,L'Annonciation,QC,CAN,CAN,71,200,--,--,--,19431944,1943,N,187,18,53,71
Nolan Baumgartner,D,1976-03-23,1,143,7,40,47,69,0:28,--,--,--,29,--,--,--,--,27,1,0,1,0,R,D,1976-03-23,1976,Calgary,AB,CAN,CAN,74,195,1994,1,10,19951996,1995,N,143,7,40,47
Mike Watt,L,1976-03-31,1,157,15,26,41,41,0:15,11:27,2.3,--,19,--,--,--,--,18,1,0,0,0,L,L,1976-03-31,1976,Seaforth,ON,CAN,CAN,74,210,1994,2,32,19971998,1997,N,157,15,26,41
Casey Hankinson,L,1976-05-08,1,18,0,1,1,13,0:43,8:48,8.2,--,5,--,--,--,--,4,1,0,0,0,L,L,1976-05-08,1976,Edina,MN,USA,USA,73,196,1995,8,201,20002001,2000,N,18,0,1,1
Ryan Tobler,L,1976-05-13,1,4,0,0,0,5,1:15,4:07,30.3,--,1,--,--,--,--,0,1,0,0,0,L,L,1976-05-13,1976,Calgary,AB,CAN,CAN,76,227,--,--,--,20012002,2001,N,4,0,0,0
Matthew Herr,C,1976-05-26,1,58,4,5,9,25,0:25,9:34,4.5,--,11,--,--,--,--,10,1,0,0,0,L,C,1976-05-26,1976,Hackensack,NJ,USA,USA,74,203,1994,4,93,19981999,1998,N,58,4,5,9
Richard Park,R,1976-05-27,1,738,102,139,241,266,0:21,--,--,--,121,--,--,--,--,117,2,0,1,1,R,R,1976-05-27,1976,Seoul,--,KOR,USA,71,190,1994,2,50,19941995,1994,N,738,102,139,241
Dwayne Zinger,D,1976-07-05,1,7,0,1,1,9,1:17,5:23,23.8,--,3,--,--,--,--,2,1,0,0,0,L,D,1976-07-05,1976,Coronation,AB,CAN,CAN,75,229,--,--,--,20032004,2003,N,7,0,1,1
Jeff Friesen,L,1976-08-05,1,893,218,298,516,488,0:32,--,--,--,232,--,--,--,--,228,2,0,1,1,L,L,1976-08-05,1976,Meadow Lake,SK,CAN,CAN,73,212,1994,1,11,19941995,1994,N,893,218,298,516
Lubomir Visnovsky,D,1976-08-11,1,883,128,367,495,373,0:25,21:26,2,--,176,--,--,--,--,173,1,0,1,1,L,D,1976-08-11,1976,Topolcany,--,SVK,SVK,70,192,2000,4,118,20002001,2000,N,883,128,367,495
Radek Martinek,D,1976-08-31,1,486,25,85,110,280,0:34,19:16,3,--,132,--,--,--,--,129,2,0,0,1,R,D,1976-08-31,1976,Havlickuv Brod,--,CZE,CZE,72,205,1999,8,228,20012002,2001,N,486,25,85,110
Jean-Pierre Vigier,R,1976-09-11,1,213,23,23,46,97,0:27,13:09,3.5,--,47,--,--,--,--,46,1,0,0,0,R,R,1976-09-11,1976,Notre Dame de Lourdes,MB,CAN,CAN,72,200,--,--,--,20002001,2000,N,213,23,23,46
Dan Smith,D,1976-10-19,1,22,0,0,0,16,0:43,11:47,6.2,--,5,--,--,--,--,3,2,0,0,0,L,D,1976-10-19,1976,Fernie,BC,CAN,CAN,74,200,1995,7,181,19981999,1998,N,22,0,0,0
Petr Sykora,R,1976-11-19,1,"1,017",323,398,721,455,0:26,--,--,--,222,--,--,--,--,221,1,0,0,0,L,R,1976-11-19,1976,Plzen,--,CZE,CZE,72,190,1995,1,18,19951996,1995,N,"1,017",323,398,721
Petr Sykora,C,1976-11-19,1,12,2,2,4,6,0:30,10:17,4.9,--,3,--,--,--,--,3,0,0,0,0,L,R,1976-11-19,1976,Plzen,--,CZE,CZE,72,190,1995,1,18,19951996,1995,N,"1,017",323,398,721
Brett Clark,D,1976-12-23,1,689,45,141,186,293,0:25,19:04,2.2,--,141,--,--,--,--,139,1,0,1,0,L,D,1976-12-23,1976,Wapella,SK,CAN,CAN,72,194,1996,6,154,19971998,1997,N,689,45,141,186
Fernando Pisani,R,1976-12-27,1,462,87,82,169,200,0:25,14:17,3,--,92,--,--,--,--,89,2,0,0,1,L,R,1976-12-27,1976,Edmonton,AB,CAN,CAN,73,205,1996,8,195,20022003,2002,N,462,87,82,169
Filip Kuba,D,1976-12-29,1,836,70,263,333,361,0:25,22:57,1.9,--,176,--,--,--,--,175,1,0,0,0,L,D,1976-12-29,1976,Ostrava,--,CZE,CZE,76,225,1995,8,192,19981999,1998,N,836,70,263,333
Wyatt Smith,C,1977-02-13,1,211,10,22,32,65,0:18,10:56,2.8,--,31,--,--,--,--,30,1,0,0,0,L,C,1977-02-13,1977,Thief River Falls,MN,USA,USA,71,205,1997,9,233,19992000,1999,N,211,10,22,32
Trevor Letowski,R,1977-04-05,1,616,84,117,201,209,0:20,13:51,2.5,--,101,--,--,--,--,100,1,0,0,0,R,R,1977-04-05,1977,Thunder Bay,ON,CAN,CAN,70,180,1996,7,174,19981999,1998,N,616,84,117,201
Craig MacDonald,C,1977-04-07,1,233,11,24,35,91,0:23,10:14,3.8,--,43,--,--,--,--,42,1,0,0,0,L,C,1977-04-07,1977,Antigonish,NS,CAN,CAN,73,201,1996,4,88,19981999,1998,N,233,11,24,35
Brian Pothier,D,1977-04-15,1,362,26,92,118,202,0:33,19:09,2.9,--,97,--,--,--,--,95,2,0,0,0,L,D,1977-04-15,1977,New Bedford,MA,USA,USA,72,204,--,--,--,20002001,2000,N,362,26,92,118
Dmitri Bykov,D,1977-05-05,1,71,2,10,12,43,0:36,17:44,3.4,--,16,--,--,--,--,14,1,0,0,1,L,D,1977-05-05,1977,Izhevsk,--,RUS,RUS,73,190,2001,8,258,20022003,2002,N,71,2,10,12
Radovan Somik,R,1977-05-07,1,113,12,20,32,27,0:14,13:33,1.8,--,12,--,--,--,--,11,1,0,0,0,R,R,1977-05-07,1977,Martin,--,SVK,SVK,74,194,1995,4,100,20022003,2002,N,113,12,20,32
Brian Wesenberg,R,1977-05-09,1,1,0,0,0,5,5:00,1:08,441.2,--,1,--,--,--,--,0,1,0,0,0,R,R,1977-05-09,1977,Peterborough,ON,CAN,CAN,75,173,1995,2,29,19981999,1998,N,1,0,0,0
Joe Corvo,D,1977-06-20,1,708,92,218,310,241,0:20,20:40,1.7,--,119,--,--,--,--,118,1,0,0,0,R,D,1977-06-20,1977,Oak Park,IL,USA,USA,72,204,1997,4,83,20022003,2002,N,708,92,218,310
David Gosselin,R,1977-06-22,1,13,2,1,3,11,0:50,8:45,9.7,--,4,--,--,--,--,3,1,0,0,0,R,R,1977-06-22,1977,Levis,QC,CAN,CAN,72,205,1995,3,78,19992000,1999,N,13,2,1,3
Mike York,L,1978-01-03,1,579,127,195,322,135,0:13,17:08,1.4,--,66,--,--,--,--,65,1,0,0,0,R,L,1978-01-03,1978,Waterford,MI,USA,USA,70,185,1997,6,136,19992000,1999,N,579,127,195,322
Martin Sonnenberg,L,1978-01-23,1,63,2,3,5,21,0:20,5:08,6.5,--,5,--,--,--,--,3,1,0,0,1,L,L,1978-01-23,1978,Wetaskiwin,AB,CAN,CAN,72,197,--,--,--,19981999,1998,N,63,2,3,5
Jeff Paul,D,1978-03-01,1,2,0,0,0,7,3:30,3:31,99.3,--,2,--,--,--,--,1,1,0,0,0,R,D,1978-03-01,1978,London,ON,CAN,CAN,76,225,1996,2,42,20022003,2002,N,2,0,0,0
Boyd Devereaux,C,1978-04-16,1,627,67,112,179,205,0:19,11:31,2.8,--,101,--,--,--,--,100,1,0,0,0,L,C,1978-04-16,1978,Seaforth,ON,CAN,CAN,74,195,1996,1,6,19971998,1997,N,627,67,112,179
Ben Guite,R,1978-07-17,1,175,19,26,45,97,0:33,12:37,4.4,--,43,--,--,--,--,41,1,0,0,1,R,R,1978-07-17,1978,Montreal,QC,CAN,CAN,73,210,1997,7,172,20052006,2005,N,175,19,26,45
Oleg Kvasha,C,1978-07-26,1,493,81,136,217,335,0:40,14:06,4.8,--,158,--,--,--,--,155,1,0,1,1,R,C,1978-07-26,1978,Moscow,--,RUS,RUS,77,230,1996,3,65,19981999,1998,N,493,81,136,217
Marco Sturm,L,1978-09-08,1,938,242,245,487,446,0:28,16:03,3,--,210,--,--,--,--,206,2,0,1,1,L,L,1978-09-08,1978,Dingolfing,--,DEU,DEU,72,196,1996,1,21,19971998,1997,N,938,242,245,487
Lars Sjoberg,D,1944-04-05,1,79,7,27,34,48,0:36,--,--,--,21,--,--,--,--,19,2,0,0,0,L,D,1944-04-05,1944,Falun,--,SWE,SWE,68,165,--,--,--,19791980,1979,N,79,7,27,34
Steve Moore,C,1978-09-22,1,69,5,7,12,41,0:35,12:09,4.9,--,19,--,--,--,--,18,1,0,0,0,R,C,1978-09-22,1978,Windsor,ON,CAN,CAN,74,205,1998,2,53,20012002,2001,N,69,5,7,12
Sergei Samsonov,L,1978-10-27,1,888,235,336,571,209,0:14,16:24,1.4,--,97,--,--,--,--,95,1,0,1,0,R,L,1978-10-27,1978,Moscow,--,RUS,RUS,68,188,1997,1,8,19971998,1997,N,888,235,336,571
Andrei Markov,D,1978-12-20,1,990,119,453,572,505,0:30,23:00,2.2,--,223,--,--,--,--,215,1,1,4,2,L,D,1978-12-20,1978,Voskresensk,--,RUS,RUS,72,200,1998,6,162,20002001,2000,N,990,119,453,572
Rob Scuderi,D,1978-12-30,1,783,8,102,110,198,0:15,19:20,1.3,--,96,--,--,--,--,94,2,0,0,0,L,D,1978-12-30,1978,Syosset,NY,USA,USA,73,216,1998,5,134,20032004,2003,N,783,8,102,110
Brian Gionta,R,1979-01-18,1,"1,026",291,304,595,377,0:22,17:40,2.1,--,186,--,--,--,--,185,1,0,0,0,R,R,1979-01-18,1979,Rochester,NY,USA,USA,67,178,1998,3,82,20012002,2001,N,"1,026",291,304,595
Pascal Dupuis,R,1979-04-07,1,871,190,219,409,387,0:26,15:58,2.8,--,186,--,--,--,--,184,1,0,0,1,L,R,1979-04-07,1979,Laval,QC,CAN,CAN,73,205,--,--,--,20002001,2000,N,871,190,219,409
Niko Dimitrakos,R,1979-05-21,1,158,24,38,62,95,0:36,12:35,4.8,--,46,--,--,--,--,45,1,0,0,0,R,R,1979-05-21,1979,Somerville,MA,USA,USA,71,193,1999,5,155,20022003,2002,N,158,24,38,62
Brian Campbell,D,1979-05-23,1,"1,082",87,417,504,277,0:15,22:05,1.2,--,137,--,--,--,--,136,1,0,0,0,L,D,1979-05-23,1979,Strathroy,ON,CAN,CAN,70,192,1997,6,156,19992000,1999,N,"1,082",87,417,504
Mike Bishai,C,1979-05-30,1,14,0,2,2,19,1:21,9:08,14.8,--,4,--,--,--,--,2,1,0,0,1,L,C,1979-05-30,1979,Edmonton,AB,CAN,CAN,71,185,--,--,--,20032004,2003,N,14,0,2,2
Quintin Laing,L,1979-06-08,1,79,3,8,11,31,0:23,10:40,3.7,--,10,--,--,--,--,8,1,0,1,0,L,L,1979-06-08,1979,Harris,SK,CAN,CAN,75,193,1997,4,102,20032004,2003,N,79,3,8,11
Patrick Leahy,R,1979-06-09,1,50,4,4,8,19,0:22,8:35,4.4,--,8,--,--,--,--,7,1,0,0,0,R,R,1979-06-09,1979,Brighton,MA,USA,USA,75,200,1998,5,122,20032004,2003,N,50,4,4,8
Alex Tanguay,L,1979-11-21,1,"1,088",283,580,863,527,0:29,17:45,2.7,--,258,--,--,--,--,256,1,0,0,1,L,L,1979-11-21,1979,Ste-Justine,QC,CAN,CAN,73,194,1998,1,12,19992000,1999,N,"1,088",283,580,863
Niklas Hagman,L,1979-12-05,1,770,147,154,301,220,0:17,14:30,2,--,102,--,--,--,--,99,2,0,0,1,L,L,1979-12-05,1979,Espoo,--,FIN,FIN,70,205,1999,3,70,20012002,2001,N,770,147,154,301
Mike Ribeiro,C,1980-02-10,1,"1,074",228,565,793,587,0:32,17:30,3.1,--,229,--,--,--,--,213,1,0,13,1,L,C,1980-02-10,1980,Montreal,QC,CAN,CAN,72,179,1998,2,45,19992000,1999,N,"1,074",228,565,793
Allan Rourke,D,1980-03-06,1,55,1,4,5,31,0:33,12:15,4.6,--,14,--,--,--,--,13,1,0,0,0,L,D,1980-03-06,1980,Mississauga,ON,CAN,CAN,74,215,1998,6,154,20032004,2003,N,55,1,4,5
Jeremy Yablonski,R,1980-03-21,1,1,0,0,0,5,5:00,7:53,63.4,--,1,--,--,--,--,0,1,0,0,0,R,R,1980-03-21,1980,Meadow Lake,SK,CAN,CAN,71,239,--,--,--,20032004,2003,N,1,0,0,0
Eric Beaudoin,L,1980-05-03,1,53,3,8,11,41,0:46,11:15,6.9,--,15,--,--,--,--,13,1,0,0,1,L,L,1980-05-03,1980,Ottawa,ON,CAN,CAN,77,220,1998,4,92,20012002,2001,N,53,3,8,11
Andy Wozniewski,D,1980-05-25,1,79,2,10,12,81,1:01,14:31,7.1,--,38,--,--,--,--,37,1,0,0,0,L,D,1980-05-25,1980,Buffalo Grove,IL,USA,USA,77,225,--,--,--,20052006,2005,N,79,2,10,12
Junior Lessard,R,1980-05-26,1,27,3,1,4,23,0:51,9:29,9,--,6,--,--,--,--,4,1,0,1,0,R,R,1980-05-26,1980,St. Joseph De Beauce,QC,CAN,CAN,71,191,--,--,--,20052006,2005,N,27,3,1,4
Kyle Rossiter,D,1980-06-09,1,11,0,1,1,9,0:49,11:46,7,--,3,--,--,--,--,2,1,0,0,0,L,D,1980-06-09,1980,Edmonton,AB,CAN,CAN,75,220,1998,2,30,20012002,2001,N,11,0,1,1
Jordan Leopold,D,1980-08-03,1,695,67,147,214,293,0:25,20:31,2.1,--,141,--,--,--,--,139,1,0,1,0,L,D,1980-08-03,1980,Golden Valley,MN,USA,USA,73,206,1999,2,44,20022003,2002,N,695,67,147,214
Jason Williams,C,1980-08-11,1,455,94,133,227,157,0:20,13:43,2.5,--,76,--,--,--,--,75,1,0,0,0,R,C,1980-08-11,1980,London,ON,CAN,CAN,71,192,--,--,--,20002001,2000,N,455,94,133,227
Bruno St. Jacques,D,1980-08-22,1,67,3,7,10,47,0:42,14:02,5,--,18,--,--,--,--,16,1,0,0,1,L,D,1980-08-22,1980,Montreal,QC,CAN,CAN,74,210,1998,9,253,20012002,2001,N,67,3,7,10
Sheldon Keefe,R,1980-09-17,1,125,12,12,24,78,0:37,10:13,6.1,--,32,--,--,--,--,29,2,0,0,1,R,R,1980-09-17,1980,Brampton,ON,CAN,CAN,71,185,1999,2,47,20002001,2000,N,125,12,12,24
Hank Ciesla,C,1934-10-15,1,271,26,51,77,85,0:18,--,--,--,41,--,--,--,--,40,1,0,0,0,L,C,1934-10-15,1934,St. Catharines,ON,CAN,CAN,74,190,--,--,--,19551956,1955,N,271,26,51,77
Henrik Zetterberg,C,1980-10-09,1,"1,082",337,623,960,401,0:22,19:32,1.9,--,195,--,--,--,--,193,1,0,0,1,L,C,1980-10-09,1980,Njurunda,--,SWE,SWE,72,197,1999,7,210,20022003,2002,N,"1,082",337,623,960
Joel Ward,R,1980-12-02,1,726,133,171,304,261,0:21,15:38,2.3,--,127,--,--,--,--,126,1,0,0,0,R,R,1980-12-02,1980,North York,ON,CAN,CAN,73,225,--,--,--,20062007,2006,N,726,133,171,304
Freddy Meyer,D,1981-01-04,1,281,20,53,73,155,0:33,17:52,3.1,--,76,--,--,--,--,75,1,0,0,0,L,D,1981-01-04,1981,Sanbornville,NH,USA,USA,70,185,--,--,--,20032004,2003,N,281,20,53,73
Michael Zigomanis,C,1981-01-17,1,197,21,19,40,89,0:27,12:03,3.7,--,38,--,--,--,--,36,1,0,0,1,R,C,1981-01-17,1981,Toronto,ON,CAN,CAN,72,200,2001,2,46,20022003,2002,N,197,21,19,40
Dany Heatley,L,1981-01-21,1,869,372,419,791,620,0:42,20:01,3.6,--,291,--,--,--,--,287,0,0,3,1,L,L,1981-01-21,1981,Freiburg,--,DEU,CAN,75,212,2000,1,2,20012002,2001,N,869,372,419,791
Lynn Loyns,C,1981-02-22,1,34,3,2,5,21,0:37,8:57,6.9,--,5,--,--,--,--,3,1,0,0,1,L,C,1981-02-22,1981,Naicam,SK,CAN,CAN,71,205,--,--,--,20022003,2002,N,34,3,2,5
Kevin Dallman,D,1981-02-26,1,154,8,23,31,45,0:17,15:31,1.9,--,21,--,--,--,--,20,1,0,0,0,R,D,1981-02-26,1981,Niagara Falls,ON,CAN,CAN,71,195,--,--,--,20052006,2005,N,154,8,23,31
Tyler Sloan,D,1981-03-15,1,99,4,13,17,50,0:30,14:17,3.5,--,25,--,--,--,--,25,0,0,0,0,L,D,1981-03-15,1981,Calgary,AB,CAN,CAN,76,214,--,--,--,20082009,2008,N,99,4,13,17
David Morisset,R,1981-04-06,1,4,0,0,0,5,1:15,11:21,11,--,1,--,--,--,--,0,1,0,0,0,R,R,1981-04-06,1981,Langley,BC,CAN,CAN,73,191,2000,2,65,20012002,2001,N,4,0,0,0
Martin Havlat,R,1981-04-19,1,790,242,352,594,404,0:30,16:48,3,--,188,--,--,--,--,184,2,1,1,0,L,R,1981-04-19,1981,Mlada Boleslav,--,CZE,CZE,74,210,1999,1,26,20002001,2000,N,790,242,352,594
Justin Johnson,R,1981-05-05,1,2,0,0,0,7,3:30,6:29,54,1,2,-1,4.63,9.25,-4.63,1,1,0,0,0,R,R,1981-05-05,1981,Anchorage,AK,USA,USA,73,220,--,--,--,20132014,2013,N,2,0,0,0
Guillaume Lefebvre,L,1981-05-07,1,39,2,4,6,13,0:20,11:38,2.9,--,5,--,--,--,--,4,1,0,0,0,L,L,1981-05-07,1981,Amos,QC,CAN,CAN,73,200,2000,7,227,20012002,2001,N,39,2,4,6
Matt Ellis,L,1981-08-31,1,356,21,28,49,89,0:15,8:47,2.9,--,39,--,--,--,--,37,1,0,1,0,L,L,1981-08-31,1981,Welland,ON,CAN,CAN,72,208,--,--,--,20062007,2006,N,356,21,28,49
Tomas Surovy,L,1981-09-24,1,126,27,32,59,71,0:33,13:19,4.2,--,34,--,--,--,--,33,1,0,0,0,L,L,1981-09-24,1981,Banská Bystrica,--,SVK,SVK,72,191,2001,4,120,20022003,2002,N,126,27,32,59
Shane Endicott,C,1981-12-21,1,45,1,2,3,47,1:02,11:25,9.1,--,22,--,--,--,--,21,1,0,0,0,L,C,1981-12-21,1981,Saskatoon,SK,CAN,CAN,75,209,2000,2,52,20012002,2001,N,45,1,2,3
